parent_id,kode_bps,nama_bps,kode_dagri,nama_dagri,kode_pos
11,1101,"KAB. SIMEULUE",11.09,"KABUPATEN SIMEULUE","23800"
11,1102,"KAB. ACEH SINGKIL",11.10,"KABUPATEN ACEH SINGKIL","24700"
11,1103,"KAB. ACEH SELATAN",11.01,"KABUPATEN ACEH SELATAN","23700"
11,1104,"KAB. ACEH TENGGARA",11.02,"KABUPATEN ACEH TENGGARA","24600"
11,1105,"KAB. ACEH TIMUR",11.03,"KABUPATEN ACEH TIMUR","24400"
11,1106,"KAB. ACEH TENGAH",11.04,"KABUPATEN ACEH TENGAH","24500"
11,1107,"KAB. ACEH BARAT",11.05,"KABUPATEN ACEH BARAT","23600"
11,1108,"KAB. ACEH BESAR",11.06,"KABUPATEN ACEH BESAR","23300;23900"
11,1109,"KAB. PIDIE",11.07,"KABUPATEN PIDIE","24100"
11,1110,"KAB. BIREUEN",11.11,"KABUPATEN BIREUEN","24200"
11,1111,"KAB. ACEH UTARA",11.08,"KABUPATEN ACEH UTARA","24300"
11,1112,"KAB. ACEH BARAT DAYA",11.12,"KABUPATEN ACEH BARAT DAYA","23700"
11,1113,"KAB. GAYO LUES",11.13,"KABUPATEN GAYO LUES","24600"
11,1114,"KAB. ACEH TAMIANG",11.16,"KABUPATEN ACEH TAMIANG","24400"
11,1115,"KAB. NAGAN RAYA",11.15,"KABUPATEN NAGAN RAYA","23600"
11,1116,"KAB. ACEH JAYA",11.14,"KABUPATEN ACEH JAYA","23600"
11,1117,"KAB. BENER MERIAH",11.17,"KABUPATEN BENER MERIAH","24500"
11,1118,"KAB. PIDIE JAYA",11.18,"KABUPATEN PIDIE JAYA","24100"
11,1171,"KOTA BANDA ACEH",11.71,"KOTA BANDA ACEH","23100;23200"
11,1172,"KOTA SABANG",11.72,"KOTA SABANG","23500"
11,1173,"KOTA LANGSA",11.74,"KOTA LANGSA","24400"
11,1174,"KOTA LHOKSEUMAWE",11.73,"KOTA LHOKSEUMAWE","24300"
11,1175,"KOTA SUBULUSSALAM",11.75,"KOTA SUBULUSSALAM","24800"
12,1201,"KAB. NIAS",12.04,"KABUPATEN NIAS","22800"
12,1202,"KAB. MANDAILING NATAL",12.13,"KABUPATEN MANDAILING NATAL","22900"
12,1203,"KAB. TAPANULI SELATAN",12.03,"KABUPATEN TAPANULI SELATAN","22700"
12,1204,"KAB. TAPANULI TENGAH",12.01,"KABUPATEN TAPANULI TENGAH","22500;22600"
12,1205,"KAB. TAPANULI UTARA",12.02,"KABUPATEN TAPANULI UTARA","22400"
12,1206,"KAB. TOBA",12.12,"KABUPATEN TOBA","22300"
12,1207,"KAB. LABUHANBATU",12.10,"KABUPATEN LABUHANBATU","21400"
12,1208,"KAB. ASAHAN",12.09,"KABUPATEN ASAHAN","21200;21300"
12,1209,"KAB. SIMALUNGUN",12.08,"KABUPATEN SIMALUNGUN","21100"
12,1210,"KAB. DAIRI",12.11,"KABUPATEN DAIRI","22200"
12,1211,"KAB. KARO",12.06,"KABUPATEN KARO","22100"
12,1212,"KAB. DELI SERDANG",12.07,"KABUPATEN DELI SERDANG","20300;20500"
12,1213,"KAB. LANGKAT",12.05,"KABUPATEN LANGKAT","20700;20800"
12,1214,"KAB. NIAS SELATAN",12.14,"KABUPATEN NIAS SELATAN","22800"
12,1215,"KAB. HUMBANG HASUNDUTAN",12.16,"KABUPATEN HUMBANG HASUNDUTAN","22400"
12,1216,"KAB. PAKPAK BHARAT",12.15,"KABUPATEN PAKPAK BHARAT","22200"
12,1217,"KAB. SAMOSIR",12.17,"KABUPATEN SAMOSIR","22300"
12,1218,"KAB. SERDANG BEDAGAI",12.18,"KABUPATEN SERDANG BEDAGAI","20600;20900"
12,1219,"KAB. BATU BARA",12.19,"KABUPATEN BATU BARA","21600"
12,1220,"KAB. PADANG LAWAS UTARA",12.20,"KABUPATEN PADANG LAWAS UTARA","22700"
12,1221,"KAB. PADANG LAWAS",12.21,"KABUPATEN PADANG LAWAS","22700"
12,1222,"KAB. LABUHANBATU SELATAN",12.22,"KABUPATEN LABUHANBATU SELATAN","21500"
12,1223,"KAB. LABUHANBATU UTARA",12.23,"KABUPATEN LABUHANBATU UTARA","21700"
12,1224,"KAB. NIAS UTARA",12.24,"KABUPATEN NIAS UTARA","22800"
12,1225,"KAB. NIAS BARAT",12.25,"KABUPATEN NIAS BARAT","22800"
12,1271,"KOTA SIBOLGA",12.73,"KOTA SIBOLGA","22500"
12,1272,"KOTA TANJUNG BALAI",12.74,"KOTA TANJUNGBALAI","21300"
12,1273,"KOTA PEMATANGSIANTAR",12.72,"KOTA PEMATANGSIANTAR","21100"
12,1274,"KOTA TEBING TINGGI",12.76,"KOTA TEBING TINGGI","20600"
12,1275,"KOTA MEDAN",12.71,"KOTA MEDAN","20100;20200;20400"
12,1276,"KOTA BINJAI",12.75,"KOTA BINJAI","20700"
12,1277,"KOTA PADANG SIDEMPUAN",12.77,"KOTA PADANGSIDIMPUAN","22700"
12,1278,"KOTA GUNUNGSITOLI",12.78,"KOTA GUNUNGSITOLI","22800"
13,1301,"KAB. KEPULAUAN MENTAWAI",13.09,"KABUPATEN KEPULAUAN MENTAWAI","25700"
13,1302,"KAB. PESISIR SELATAN",13.01,"KABUPATEN PESISIR SELATAN",
13,1303,"KAB. SOLOK",13.02,"KABUPATEN SOLOK",
13,1304,"KAB. SIJUNJUNG",13.03,"KABUPATEN SIJUNJUNG",
13,1305,"KAB. TANAH DATAR",13.04,"KABUPATEN TANAH DATAR",
13,1306,"KAB. PADANG PARIAMAN",13.05,"KABUPATEN PADANG PARIAMAN",
13,1307,"KAB. AGAM",13.06,"KABUPATEN AGAM",
13,1308,"KAB. LIMA PULUH KOTA",13.07,"KABUPATEN LIMA PULUH KOTA",
13,1309,"KAB. PASAMAN",13.08,"KABUPATEN PASAMAN",
13,1310,"KAB. SOLOK SELATAN",13.11,"KABUPATEN SOLOK SELATAN",
13,1311,"KAB. DHARMASRAYA",13.10,"KABUPATEN DHARMASRAYA",
13,1312,"KAB. PASAMAN BARAT",13.12,"KABUPATEN PASAMAN BARAT",
13,1371,"KOTA PADANG",13.71,"KOTA PADANG","25100;25200"
13,1372,"KOTA SOLOK",13.72,"KOTA SOLOK","27300"
13,1373,"KOTA SAWAHLUNTO",13.73,"KOTA SAWAHLUNTO","27400"
13,1374,"KOTA PADANG PANJANG",13.74,"KOTA PADANG PANJANG",
13,1375,"KOTA BUKITTINGGI",13.75,"KOTA BUKITTINGGI","26100"
13,1376,"KOTA PAYAKUMBUH",13.76,"KOTA PAYAKUMBUH","26200"
13,1377,"KOTA PARIAMAN",13.77,"KOTA PARIAMAN","25500"
14,1401,"KAB. KUANTAN SINGINGI",14.09,"KABUPATEN KUANTAN SINGINGI","29500"
14,1402,"KAB. INDRAGIRI HULU",14.02,"KABUPATEN INDRAGIRI HULU","29300"
14,1403,"KAB. INDRAGIRI HILIR",14.04,"KABUPATEN INDRAGIRI HILIR","29200"
14,1404,"KAB. PELALAWAN",14.05,"KABUPATEN  PELALAWAN","28300"
14,1405,"KAB. SIAK",14.08,"KABUPATEN SIAK","28600"
14,1406,"KAB. KAMPAR",14.01,"KABUPATEN KAMPAR","28400"
14,1407,"KAB. ROKAN HULU",14.06,"KABUPATEN  ROKAN HULU","28500"
14,1408,"KAB. BENGKALIS",14.03,"KABUPATEN BENGKALIS",
14,1409,"KAB. ROKAN HILIR",14.07,"KABUPATEN  ROKAN HILIR","28900"
14,1410,"KAB. KEPULAUAN MERANTI",14.10,"KABUPATEN KEPULAUAN MERANTI",
14,1471,"KOTA PEKANBARU",14.71,"KOTA PEKANBARU","28100;28200"
14,1473,"KOTA DUMAI",14.72,"KOTA DUMAI","28800"
15,1501,"KAB. KERINCI",15.01,"KABUPATEN  KERINCI","37100"
15,1502,"KAB. MERANGIN",15.02,"KABUPATEN  MERANGIN","37300"
15,1503,"KAB. SAROLANGUN",15.03,"KABUPATEN SAROLANGUN","37400"
15,1504,"KAB. BATANGHARI",15.04,"KABUPATEN BATANGHARI","36600"
15,1505,"KAB. MUARO JAMBI",15.05,"KABUPATEN  MUARO JAMBI","36300"
15,1506,"KAB. TANJUNG JABUNG TIMUR",15.07,"KABUPATEN TANJUNG JABUNG TIMUR","36700"
15,1507,"KAB. TANJUNG JABUNG BARAT",15.06,"KABUPATEN TANJUNG JABUNG BARAT","36500"
15,1508,"KAB. TEBO",15.09,"KABUPATEN TEBO","37500"
15,1509,"KAB. BUNGO",15.08,"KABUPATEN BUNGO","37200"
15,1571,"KOTA JAMBI",15.71,"KOTA JAMBI","36100;36200"
15,1572,"KOTA SUNGAI PENUH",15.72,"KOTA SUNGAI PENUH","37100"
16,1601,"KAB. OGAN KOMERING ULU",16.01,"KABUPATEN OGAN KOMERING ULU","32100"
16,1602,"KAB. OGAN KOMERING ILIR",16.02,"KABUPATEN OGAN KOMERING ILIR","30600"
16,1603,"KAB. MUARA ENIM",16.03,"KABUPATEN MUARA ENIM","31300;31800;32300"
16,1604,"KAB. LAHAT",16.04,"KABUPATEN LAHAT","31400"
16,1605,"KAB. MUSI RAWAS",16.05,"KABUPATEN MUSI RAWAS","31600"
