parent_id,parent_kode_dagri,kode_bps,nama_bps,kode_dagri,nama_dagri,kode_pos
1101,11.09,1101010,"TEUPAH SELATAN",11.09.07,"TEUPAH SELATAN","23895"
1101,11.09,1101020,"SIMEULUE TIMUR",11.09.04,"SIMEULUE TIMUR","23891"
1101,11.09,1101021,"TEUPAH BARAT",11.09.03,"TEUPAH BARAT","23896"
1101,11.09,1101022,"TEUPAH TENGAH",11.09.09,"TEUPAH TENGAH",
1101,11.09,1101030,"SIMEULUE TENGAH",11.09.01,"SIMEULUE TENGAH","23894"
1101,11.09,1101031,"TELUK DALAM",11.09.05,"TELUK DALAM","23897"
1101,11.09,1101032,"SIMEULUE CUT",11.09.10,"SIMEULUE CUT",
1101,11.09,1101040,"SALANG",11.09.02,"SALANG","23893"
1101,11.09,1101050,"SIMEULUE BARAT",11.09.06,"SIMEULUE BARAT","23892"
1101,11.09,1101051,"ALAFAN",11.09.08,"ALAFAN","23898"
1102,11.10,1102010,"PULAU BANYAK",11.10.01,"PULAU BANYAK","24791"
1102,11.10,1102011,"PULAU BANYAK BARAT",11.10.16,"PULAU BANYAK BARAT","24792"
1102,11.10,1102020,"SINGKIL",11.10.04,"SINGKIL","24784;24785"
1102,11.10,1102021,"SINGKIL UTARA",11.10.10,"SINGKIL UTARA","24787"
1102,11.10,1102022,"KUALA BARU",11.10.14,"KUALA BARU","24788"
1102,11.10,1102030,"SIMPANG KANAN",11.10.02,"SIMPANG KANAN","24783"
1102,11.10,1102031,"GUNUNG MERIAH",11.10.06,"GUNUNG MERIAH","24784;24783;24785"
1102,11.10,1102032,"DANAU PARIS",11.10.11,"DANAU PARIS","24771"
1102,11.10,1102033,"SURO",11.10.12,"SURO MAKMUR","24772"
1102,11.10,1102042,"SINGKOHOR",11.10.13,"SINGKOHOR","24774;24773"
1102,11.10,1102043,"KOTA BAHARU",11.10.09,"KOTA BAHARU","24774"
1103,11.01,1103010,"TRUMON",11.01.09,"TRUMON","23778;23774"
1103,11.01,1103011,"TRUMON TIMUR",11.01.16,"TRUMON TIMUR","23776"
1103,11.01,1103012,"TRUMON TENGAH",11.01.18,"TRUMON TENGAH","23777;23771;23775"
1103,11.01,1103020,"BAKONGAN",11.01.01,"BAKONGAN","23773;23777;23772"
1103,11.01,1103021,"BAKONGAN TIMUR",11.01.15,"BAKONGAN TIMUR","23777;23775"
1103,11.01,1103022,"KOTA BAHAGIA",11.01.17,"KOTA BAHAGIA","23778;23774"
