kode_bps,nama_bps,kode_dagri,nama_dagri,kode_pos
11,"ACEH",11,"ACEH","20000"
12,"SUMATERA UTARA",12,"SUMATERA UTARA","20000"
13,"SUMATERA BARAT",13,"SUMATERA BARAT","20000"
14,"RIAU",14,"RIAU","20000"
15,"JAMBI",15,"JAMBI","30000"
16,"SUMATERA SELATAN",16,"SUMATERA SELATAN","30000"
17,"BENGKULU",17,"BENGKULU","30000"
18,"LAMPUNG",18,"LAMPUNG","30000"
19,"KEPULAUAN BANGKA BELITUNG",19,"KEPULAUAN BANGKA BELITUNG","30000"
21,"KEPULAUAN RIAU",21,"KEPULAUAN RIAU","20000"
31,"DKI JAKARTA",31,"DKI JAKARTA","10000"
32,"JAWA BARAT",32,"JAWA BARAT","10000;40000"
33,"JAWA TENGAH",33,"JAWA TENGAH","50000"
34,"DI YOGYAKARTA",34,"DI YOGYAKARTA","50000"
35,"JAWA TIMUR",35,"JAWA TIMUR","60000"
36,"BANTEN",36,"BANTEN","10000;40000"
51,"BALI",51,"BALI","80000"
52,"NUSA TENGGARA BARAT",52,"NUSA TENGGARA BARAT","80000"
53,"NUSA TENGGARA TIMUR",53,"NUSA TENGGARA TIMUR","80000"
61,"KALIMANTAN BARAT",61,"KALIMANTAN BARAT","70000"
62,"KALIMANTAN TENGAH",62,"KALIMANTAN TENGAH","70000"
63,"KALIMANTAN SELATAN",63,"KALIMANTAN SELATAN","70000"
64,"KALIMANTAN TIMUR",64,"KALIMANTAN TIMUR","70000"
65,"KALIMANTAN UTARA",65,"KALIMANTAN UTARA","70000"
71,"SULAWESI UTARA",71,"SULAWESI UTARA","90000"
72,"SULAWESI TENGAH",72,"SULAWESI TENGAH","90000"
73,"SULAWESI SELATAN",73,"SULAWESI SELATAN","90000"
74,"SULAWESI TENGGARA",74,"SULAWESI TENGGARA","90000"
75,"GORONTALO",75,"GORONTALO","90000"
76,"SULAWESI BARAT",76,"SULAWESI BARAT","90000"
81,"MALUKU",81,"MALUKU","90000"
82,"MALUKU UTARA",82,"MALUKU UTARA","90000"
91,"PAPUA BARAT",92,"PAPUA BARAT","90000"
92,"PAPUA BARAT DAYA",96,"PAPUA BARAT DAYA",
94,"PAPUA",91,"PAPUA","90000"
95,"PAPUA SELATAN",93,"PAPUA SELATAN",
96,"PAPUA TENGAH",94,"PAPUA TENGAH",
97,"PAPUA PEGUNUNGAN",95,"PAPUA PEGUNUNGAN",
